"repetition","method","time","ISE","n_high"
1,"ABC-ASMC",1.37,0.0126370816134648,71885
1,"MAPS",1.002,0.0123936118299092,25400
2,"ABC-ASMC",1.39,0.0117202057803576,68981
2,"MAPS",1.133,0.0135377147226556,25421
3,"ABC-ASMC",1.477,0.0132610546916878,68957
3,"MAPS",0.814000000000001,0.0152454825480494,21330
4,"ABC-ASMC",1.371,0.0148922203026881,69058
4,"MAPS",1.006,0.0113917553678028,25718
5,"ABC-ASMC",1.344,0.0129587334123182,71944
5,"MAPS",1.002,0.0125682714545309,25652
6,"ABC-ASMC",1.348,0.0124003537992103,68806
6,"MAPS",0.995,0.0111661165370868,25609
7,"ABC-ASMC",1.337,0.0130368871607771,71975
7,"MAPS",0.794999999999999,0.0126114562997574,21171
8,"ABC-ASMC",1.363,0.0124480910646697,71988
8,"MAPS",1.008,0.0150414273099122,25271
9,"ABC-ASMC",1.367,0.0134775693196815,71981
9,"MAPS",0.809000000000002,0.0131387170249946,21395
10,"ABC-ASMC",1.364,0.0140083927513507,71910
10,"MAPS",1.012,0.0114091036484101,25481
